#FamilyID	pvalue	Significant at 0.05
OG0000000	0	y
OG0000002	0	y
OG0000004	0	y
OG0000007	0	y
OG0000008	0	y
OG0000009	0	y
OG0000011	0	y
OG0000012	0	y
OG0000013	0	y
OG0000015	0	y
OG0000016	0	y
OG0000017	0	y
OG0000018	0	y
OG0000020	0	y
OG0000022	0.142	n
OG0000023	0	y
OG0000024	0	y
OG0000025	0	y
OG0000027	0	y
OG0000028	0	y
OG0000029	0	y
OG0000030	0	y
OG0000031	0	y
OG0000032	0	y
OG0000033	0	y
OG0000034	0	y
OG0000036	0	y
OG0000037	0	y
OG0000040	0	y
OG0000041	0.003	y
OG0000042	0	y
OG0000045	0	y
OG0000046	0	y
OG0000047	0	y
OG0000049	0	y
OG0000052	0	y
OG0000053	0	y
OG0000054	0	y
OG0000057	0	y
OG0000058	0	y
OG0000060	0	y
OG0000061	0	y
OG0000062	0	y
OG0000063	0	y
OG0000064	0	y
OG0000065	0	y
OG0000067	0	y
OG0000068	0	y
OG0000069	0.003	y
OG0000070	0	y
OG0000073	0	y
OG0000074	0	y
OG0000075	0.001	y
OG0000077	0	y
OG0000081	0	y
OG0000089	0	y
OG0000094	0	y
OG0000095	0	y
OG0000096	0	y
OG0000100	0.003	y
OG0000103	0	y
OG0000104	0	y
OG0000105	0.001	y
OG0000106	0	y
OG0000108	0	y
OG0000109	0	y
OG0000111	0.001	y
OG0000112	0	y
OG0000116	0	y
OG0000118	0	y
OG0000119	0.001	y
OG0000122	0.154	n
OG0000124	0	y
OG0000129	0	y
OG0000130	0	y
OG0000131	0	y
OG0000139	0	y
OG0000141	0	y
OG0000142	0.001	y
OG0000143	0	y
OG0000148	0.001	y
OG0000149	0	y
OG0000151	0	y
OG0000152	0	y
OG0000153	0.018	y
OG0000154	0.001	y
OG0000155	0.001	y
OG0000156	0	y
OG0000157	0	y
OG0000160	0	y
OG0000161	0.013	y
OG0000163	0.001	y
OG0000165	0.042	y
OG0000167	0	y
OG0000168	0	y
OG0000170	0	y
OG0000173	0.001	y
OG0000174	0.001	y
OG0000175	0.001	y
OG0000176	0.001	y
OG0000177	0	y
OG0000178	0	y
OG0000179	0.001	y
OG0000181	0.001	y
OG0000182	0.001	y
OG0000183	0	y
OG0000184	0	y
OG0000185	0	y
OG0000186	0	y
OG0000187	0	y
OG0000188	0	y
OG0000189	0	y
OG0000190	0.001	y
OG0000191	0.001	y
OG0000192	0	y
OG0000193	0.903	n
OG0000194	0.033	y
OG0000196	0.007	y
OG0000197	0.029	y
OG0000198	0	y
OG0000199	0	y
OG0000201	0	y
OG0000203	0	y
OG0000204	0	y
OG0000205	0	y
OG0000207	0	y
OG0000208	0.001	y
OG0000209	0	y
OG0000210	0	y
OG0000214	0	y
OG0000217	0	y
OG0000220	0	y
OG0000221	0.72	n
OG0000223	0	y
OG0000224	0	y
OG0000227	0.001	y
OG0000229	0.001	y
OG0000234	0	y
OG0000238	0	y
OG0000239	0.101	n
OG0000240	0.001	y
OG0000241	0	y
OG0000242	0.001	y
OG0000243	0	y
OG0000244	0.001	y
OG0000249	0	y
OG0000250	0	y
OG0000253	0.001	y
OG0000256	0.002	y
OG0000258	0.001	y
OG0000259	0.01	y
OG0000260	0	y
OG0000262	0	y
OG0000267	0.001	y
OG0000268	0.001	y
OG0000269	0.001	y
OG0000270	0	y
OG0000272	0.001	y
OG0000277	0.053	n
OG0000278	0	y
OG0000280	0	y
OG0000282	0.001	y
OG0000284	0	y
OG0000286	0	y
OG0000288	0	y
OG0000295	0.001	y
OG0000296	0	y
OG0000297	0	y
OG0000300	0.001	y
OG0000308	0	y
OG0000309	0	y
OG0000311	0.001	y
OG0000312	0	y
OG0000313	0.001	y
OG0000314	0	y
OG0000316	0.001	y
OG0000319	0.001	y
OG0000320	0	y
OG0000321	0	y
OG0000322	0	y
OG0000323	0.001	y
OG0000324	0	y
OG0000326	0	y
OG0000327	0.002	y
OG0000328	0.055	n
OG0000330	0.001	y
OG0000332	0.001	y
OG0000334	0.001	y
OG0000335	0.065	n
OG0000336	0.001	y
OG0000339	0	y
OG0000340	0	y
OG0000341	0.073	n
OG0000343	0.001	y
OG0000345	0.001	y
OG0000347	0	y
OG0000348	0	y
OG0000353	0.001	y
OG0000354	0.001	y
OG0000355	0.008	y
OG0000356	0.001	y
OG0000357	0.001	y
OG0000358	0.001	y
OG0000367	0.017	y
OG0000368	0.656	n
OG0000369	0.005	y
OG0000370	0	y
OG0000371	0.005	y
OG0000375	0.001	y
OG0000376	0.001	y
OG0000378	0.001	y
OG0000381	0	y
OG0000383	0.008	y
OG0000384	0.077	n
OG0000386	0.001	y
OG0000387	0.098	n
OG0000388	0	y
OG0000392	0.007	y
OG0000393	0.001	y
OG0000394	0.007	y
OG0000395	0.328	n
OG0000396	0.001	y
OG0000398	0.003	y
OG0000407	0.217	n
OG0000408	0.001	y
OG0000410	0.001	y
OG0000411	0.429	n
OG0000412	0	y
OG0000413	0.036	y
OG0000414	0.101	n
OG0000416	0.001	y
OG0000419	0	y
OG0000420	0.091	n
OG0000421	0.013	y
OG0000422	0.005	y
OG0000424	0.016	y
OG0000425	0.001	y
OG0000426	0	y
OG0000433	0.038	y
OG0000437	0	y
OG0000438	0.16	n
OG0000439	0.994	n
OG0000444	0.507	n
OG0000445	0	y
OG0000446	0.022	y
OG0000448	0.353	n
OG0000449	0.051	n
OG0000450	0.003	y
OG0000452	0.001	y
OG0000455	0.001	y
OG0000460	0.001	y
OG0000461	0.233	n
OG0000462	0	y
OG0000463	0.003	y
OG0000464	0.022	y
OG0000465	0.001	y
OG0000467	0.001	y
OG0000469	0	y
OG0000470	0.001	y
OG0000475	0.001	y
OG0000477	0	y
OG0000478	0	y
OG0000479	0.001	y
OG0000480	0.005	y
OG0000481	0.302	n
OG0000483	0.001	y
OG0000484	0.001	y
OG0000485	0	y
OG0000490	0.211	n
OG0000491	0	y
OG0000492	0.001	y
OG0000493	0.001	y
OG0000494	0.001	y
OG0000495	0.001	y
OG0000497	0.777	n
OG0000498	0.079	n
OG0000499	0	y
OG0000500	0	y
OG0000501	0.017	y
OG0000502	0.001	y
OG0000504	0.998	n
OG0000505	0.005	y
OG0000506	0.001	y
OG0000507	0.001	y
OG0000511	0	y
OG0000521	0.331	n
OG0000523	0.011	y
OG0000524	0.001	y
OG0000526	0	y
OG0000527	0.236	n
OG0000528	0.111	n
OG0000530	0.007	y
OG0000531	0.158	n
OG0000532	0.035	y
OG0000533	0.041	y
OG0000535	0.005	y
OG0000537	0	y
