Species Tree Node	Duplications (all)	Duplications (50% support)
N0	1572	498
N2	773	259
Cyclina_sinensis	7685	7685
Scapharca_Anadara_broughtonii	5968	5968
N1	3666	443
Haliotis_rubra	13833	13833
N10	3992	3992
Crassostrea_gigas	6403	6403
Magallana_hongkongensis	13821	13821
Achatina_immaculata	7089	7089
Pomacea_canaliculata	3420	3420
N4	674	475
Pinctada_fucata_martensii	9586	9586
Chrysomallon_squamiferum	3114	3114
N9	2008	2008
Marisa_cornuarietis	3670	3670
N3	886	129
N7	488	350
N6	244	92
Biomphalaria_glabrata	3334	3334
N11	3107	3107
Biomphalaria_straminea	9838	9838
Octopus_sinensis	5040	5040
N5	329	329
N8	518	411
