Desc	Orthogroup	Achatina_immaculata	Biomphalaria_glabrata	Biomphalaria_straminea	Chrysomallon_squamiferum	Crassostrea_gigas	Cyclina_sinensis	Haliotis_rubra	Magallana_hongkongensis	Marisa_cornuarietis	Octopus_sinensis	Pinctada_fucata_martensii	Pomacea_canaliculata	Scapharca_Anadara_broughtonii
(null)	OG0000001	591	0	2	0	0	0	0	0	2	1	0	0	0
(null)	OG0000003	347	1	0	0	0	0	0	1	0	0	0	0	0
(null)	OG0000005	49	112	95	2	2	1	14	7	2	0	7	1	0
(null)	OG0000006	253	2	0	0	0	0	0	0	0	0	0	0	0
(null)	OG0000014	0	1	1	0	1	2	215	1	0	2	3	0	1
(null)	OG0000044	0	0	0	0	148	0	0	2	0	0	0	0	0
(null)	OG0000090	0	0	0	0	113	0	0	2	0	0	0	0	0
(null)	OG0000110	0	0	0	0	0	0	0	4	0	0	103	0	0
(null)	OG0000011	2	9	9	11	23	19	24	44	24	10	21	22	23
(null)	OG0000012	0	0	0	0	39	17	5	49	3	44	44	16	19
(null)	OG0000013	20	23	20	9	14	13	24	14	27	9	12	33	15
(null)	OG0000015	1	15	9	13	9	17	25	23	23	44	11	19	17
(null)	OG0000016	22	13	16	27	9	18	23	8	21	21	7	18	19
(null)	OG0000017	17	7	10	8	26	52	21	27	9	5	14	9	16
(null)	OG0000018	16	10	12	15	19	14	28	27	13	10	17	11	25
(null)	OG0000019	0	0	0	1	24	5	29	32	42	0	14	44	25
(null)	OG0000020	0	11	44	32	14	3	37	7	23	1	21	20	2
(null)	OG0000021	0	0	0	0	92	0	38	15	0	0	36	0	22
(null)	OG0000022	17	18	18	13	17	13	20	17	10	8	18	11	10
(null)	OG0000023	3	39	33	13	16	6	6	18	19	2	7	17	10
(null)	OG0000024	10	18	28	7	21	18	11	32	10	1	7	9	13
(null)	OG0000025	10	16	20	0	10	15	7	8	12	8	32	22	19
(null)	OG0000027	16	8	17	13	18	13	15	18	10	3	16	11	17
(null)	OG0000028	14	13	13	9	25	2	9	28	5	8	25	3	13
(null)	OG0000029	5	10	10	8	11	14	30	12	7	4	18	9	29
(null)	OG0000030	15	10	14	2	6	16	42	7	9	6	3	12	23
(null)	OG0000031	5	15	12	2	23	3	14	42	7	4	21	5	10
(null)	OG0000032	0	4	5	1	20	28	41	26	3	2	11	3	15
(null)	OG0000033	9	11	15	14	8	11	14	14	11	15	10	13	12
(null)	OG0000034	3	7	7	7	18	7	39	20	6	6	14	6	17
(null)	OG0000035	0	0	0	0	13	7	26	27	0	0	44	0	40
(null)	OG0000036	8	25	25	3	6	6	33	6	11	1	8	13	10
(null)	OG0000037	10	16	16	1	6	5	37	10	15	4	13	11	11
(null)	OG0000038	2	1	1	28	32	4	17	46	4	0	12	3	4
(null)	OG0000039	7	3	5	3	6	12	52	10	15	0	6	21	13
(null)	OG0000040	1	4	9	4	13	11	20	14	11	6	25	20	15
(null)	OG0000041	10	8	10	9	18	17	7	20	8	7	14	6	18
(null)	OG0000042	0	0	0	5	21	22	10	26	24	2	5	28	8
(null)	OG0000043	68	29	51	0	0	0	1	0	0	0	0	0	1
(null)	OG0000045	11	6	6	1	15	20	11	15	10	5	16	12	20
(null)	OG0000046	2	5	10	6	12	4	17	17	2	7	32	2	32
(null)	OG0000047	5	4	12	23	18	7	21	20	17	5	3	8	5
(null)	OG0000048	0	0	0	1	75	0	0	67	0	0	1	0	4
(null)	OG0000049	0	45	10	0	8	0	29	15	0	15	0	7	18
(null)	OG0000050	0	1	3	1	26	27	2	23	1	0	34	1	28
(null)	OG0000051	0	0	0	0	70	8	15	19	4	0	5	12	13
(null)	OG0000052	4	4	3	0	29	21	7	30	2	1	25	6	10
(null)	OG0000053	3	27	25	12	14	3	10	12	14	2	5	8	5
(null)	OG0000054	3	9	8	12	4	19	24	10	15	6	11	8	11
(null)	OG0000055	1	1	2	0	52	0	1	77	1	1	1	1	0
(null)	OG0000057	6	7	7	2	11	10	19	17	15	1	9	13	16
(null)	OG0000058	1	8	27	0	38	0	12	3	6	2	16	11	9
(null)	OG0000059	5	23	30	1	8	4	4	8	30	0	8	8	4
(null)	OG0000060	2	13	16	3	16	7	17	18	4	14	10	3	9
(null)	OG0000061	1	16	20	1	10	8	6	12	17	2	6	22	10
(null)	OG0000062	10	10	12	4	20	12	16	17	6	3	8	6	6
(null)	OG0000063	3	9	13	4	23	12	12	35	3	3	2	4	6
(null)	OG0000064	1	1	1	2	5	0	72	28	0	1	11	0	7
(null)	OG0000065	0	4	1	0	33	4	10	16	2	1	34	4	20
(null)	OG0000067	8	15	32	2	2	3	7	4	21	3	3	23	5
(null)	OG0000068	14	9	16	9	11	8	8	8	8	9	11	6	11
(null)	OG0000069	7	3	4	9	13	16	10	15	7	4	13	7	19
(null)	OG0000070	1	9	7	3	28	6	6	34	1	8	13	1	9
(null)	OG0000071	0	7	10	0	12	0	52	7	1	0	29	5	3
(null)	OG0000072	6	21	24	1	9	7	15	7	3	0	10	8	14
(null)	OG0000073	5	17	13	1	9	6	17	8	6	14	11	9	7
(null)	OG0000074	5	7	21	5	11	11	7	13	19	1	2	18	2
(null)	OG0000075	5	8	11	6	13	15	13	15	8	2	11	6	9
(null)	OG0000077	1	10	8	3	6	5	24	5	15	1	3	32	7
(null)	OG0000078	5	17	21	0	8	16	1	8	1	0	32	0	11
(null)	OG0000079	0	0	0	0	33	0	0	54	0	0	30	0	2
(null)	OG0000081	0	6	9	8	17	14	7	20	1	1	10	6	19
(null)	OG0000084	0	0	0	0	1	2	93	2	0	0	16	0	3
(null)	OG0000089	2	2	2	2	22	16	8	31	5	2	9	3	11
(null)	OG0000094	3	3	9	5	5	9	21	14	3	2	24	3	12
(null)	OG0000095	3	2	2	0	11	19	17	16	5	1	16	7	14
(null)	OG0000096	10	13	8	0	0	0	7	0	8	13	5	35	14
(null)	OG0000100	11	10	8	18	6	3	14	6	8	5	4	8	10
(null)	OG0000103	3	16	19	4	10	10	8	7	4	2	9	4	14
(null)	OG0000104	4	2	4	3	11	4	21	11	10	4	8	11	16
(null)	OG0000105	4	5	7	14	9	10	13	6	9	5	7	9	10
(null)	OG0000106	1	4	4	0	5	23	15	8	11	4	12	10	11
(null)	OG0000108	5	12	11	1	9	16	6	3	2	1	18	12	11
(null)	OG0000109	1	11	4	6	0	11	5	5	1	52	2	2	7
(null)	OG0000111	3	3	6	6	9	18	8	11	7	5	13	8	9
(null)	OG0000112	4	6	34	6	7	3	9	14	8	1	0	12	2
(null)	OG0000113	0	0	0	13	4	8	18	10	12	0	9	11	21
(null)	OG0000115	7	12	9	8	5	10	10	7	6	0	16	7	8
(null)	OG0000116	2	4	7	5	12	13	16	18	5	2	3	6	12
(null)	OG0000117	8	27	27	4	6	6	12	8	3	0	0	1	3
(null)	OG0000118	9	4	10	2	2	7	10	4	11	7	15	10	13
(null)	OG0000119	9	3	7	3	13	7	12	11	7	6	7	7	12
(null)	OG0000120	0	0	1	0	42	0	0	58	1	0	1	0	1
(null)	OG0000122	9	13	14	7	6	9	8	7	7	5	5	8	5
(null)	OG0000123	1	2	2	0	16	5	34	4	0	0	17	0	22
(null)	OG0000124	1	3	1	2	1	1	1	1	1	87	2	1	1
(null)	OG0000127	47	0	0	0	1	0	9	6	0	0	10	4	25
(null)	OG0000128	0	11	15	2	6	13	17	12	6	0	7	5	8
(null)	OG0000129	3	15	26	2	13	0	13	9	3	1	6	3	7
(null)	OG0000130	7	8	10	3	1	6	29	2	6	5	9	7	8
(null)	OG0000131	1	4	10	1	18	8	6	12	4	3	13	5	16
(null)	OG0000132	0	0	0	91	1	0	8	0	0	0	1	0	0
(null)	OG0000133	0	0	0	0	16	6	0	48	0	0	14	1	16
(null)	OG0000134	0	0	0	0	0	0	0	0	2	0	0	99	0
(null)	OG0000135	7	11	19	4	10	1	9	18	8	0	5	3	5
(null)	OG0000136	3	6	10	8	2	7	20	5	10	0	14	11	4
(null)	OG0000137	0	0	0	0	0	1	0	0	0	0	99	0	0
(null)	OG0000139	4	3	7	0	9	13	6	12	2	3	21	3	16
(null)	OG0000141	2	2	1	1	24	7	9	24	1	1	13	1	12
(null)	OG0000142	7	7	8	4	8	14	12	6	7	8	7	3	7
(null)	OG0000143	0	0	0	0	35	1	17	1	1	1	15	3	23
(null)	OG0000147	95	0	1	0	0	0	0	0	0	0	0	0	0
(null)	OG0000148	7	6	7	2	6	15	12	5	13	2	4	10	7
(null)	OG0000149	5	8	8	6	9	2	20	14	4	3	4	7	6
(null)	OG0000150	1	8	8	0	12	2	1	18	4	0	23	7	12
(null)	OG0000151	0	0	0	0	15	12	18	2	13	2	16	1	17
(null)	OG0000152	1	4	4	9	4	7	24	7	7	6	7	12	3
(null)	OG0000153	8	11	10	4	6	6	8	6	6	4	9	4	13
(null)	OG0000154	4	4	6	1	10	16	4	11	9	1	11	8	10
(null)	OG0000155	3	5	5	3	19	8	7	16	5	9	3	5	7
(null)	OG0000156	1	11	6	5	10	4	3	18	7	1	8	15	6
(null)	OG0000157	2	4	3	7	15	4	13	20	4	2	9	6	6
(null)	OG0000158	0	5	10	7	21	3	10	23	5	0	5	4	2
(null)	OG0000160	5	3	2	5	11	2	30	11	5	2	4	2	12
(null)	OG0000161	4	5	7	6	9	9	9	8	10	9	6	7	5
(null)	OG0000162	2	2	4	6	13	2	20	16	2	0	12	4	11
(null)	OG0000163	7	6	6	6	11	2	14	10	8	5	8	4	7
(null)	OG0000164	0	0	0	0	14	27	4	31	0	0	16	0	2
(null)	OG0000165	6	8	9	3	11	7	7	11	8	6	3	7	7
(null)	OG0000166	5	4	4	3	4	23	20	5	2	0	5	4	14
(null)	OG0000167	1	5	4	4	11	8	9	15	2	5	10	7	12
(null)	OG0000168	19	8	12	4	6	5	9	6	6	1	2	10	4
(null)	OG0000169	0	0	0	0	3	1	17	22	1	0	25	0	23
(null)	OG0000170	5	9	7	2	4	9	19	7	7	1	5	9	7
(null)	OG0000171	0	0	1	2	20	11	7	22	3	0	10	4	11
(null)	OG0000172	0	0	0	2	13	4	16	8	9	0	13	17	9
(null)	OG0000173	12	21	22	4	1	2	4	1	7	6	3	6	1
(null)	OG0000174	4	2	4	11	9	1	7	8	8	5	19	7	5
(null)	OG0000175	9	6	9	0	11	6	9	10	6	1	8	4	11
(null)	OG0000176	5	4	5	8	4	6	18	6	11	2	6	7	8
(null)	OG0000177	1	4	5	3	13	11	15	9	4	1	12	3	9
(null)	OG0000178	0	4	6	0	5	8	16	6	1	8	3	5	28
(null)	OG0000179	3	12	9	10	5	10	12	5	6	1	6	5	5
(null)	OG0000180	0	0	0	0	0	0	0	0	10	0	0	79	0
(null)	OG0000181	4	5	5	5	2	23	7	2	9	2	10	11	3
(null)	OG0000182	7	10	11	3	10	5	9	8	3	3	8	5	6
(null)	OG0000183	8	11	12	1	1	10	13	2	10	2	1	15	2
(null)	OG0000184	2	11	5	6	3	6	19	3	6	1	7	14	5
(null)	OG0000185	6	2	3	3	9	2	3	5	13	24	1	3	14
(null)	OG0000186	7	2	3	4	6	3	2	4	7	25	1	6	18
(null)	OG0000187	1	1	0	1	25	2	12	11	8	1	8	4	14
(null)	OG0000188	0	0	0	3	31	17	4	23	0	1	3	0	6
(null)	OG0000189	2	9	20	3	6	6	3	10	3	5	8	3	9
(null)	OG0000190	3	2	1	4	14	13	6	12	3	5	9	3	12
